brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Mercedes-Benz,AMG C 63 Base,2017,"63,000 mi.",Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,3570000
Volvo,S40 T5,2005,"257,700 mi.",Gasoline,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,301750
Mercedes-Benz,GLE 350 Base 4MATIC,2017,"57,000 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,2507500
Chevrolet,Silverado 1500 1LT,2017,"89,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,2549915
Chevrolet,Tahoe LTZ,2015,"134,500 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,2380000
Acura,MDX Technology,2022,"15,895 mi.",Gasoline,3.5L V6 24V GDI SOHC,10-Speed Automatic,Majestic Black Pearl,Parchment,None reported,,4075750
Bentley,Bentayga Speed,2020,"15,109 mi.",Gasoline,6.0L W12 48V PDI DOHC Twin Turbo,8-Speed Automatic,Ice,Beluga Hide,,,13850750
Rolls-Royce,Cullinan,2022,398 mi.,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Silver,Charles Blue,None reported,Yes,59075000
Genesis,GV70 2.5T,2022,"20,319 mi.",Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,3761165
Pontiac,Firebird Base,1999,"158,000 mi.",Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,212500
Lexus,GX 460 Base,2021,"40,906 mi.",Gasoline,4.6 Liter,Automatic,Black,Black,None reported,,4419830
BMW,ALPINA B7 ALPINA B7 xDrive,2020,"33,749 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Blue,Red,None reported,,7309830
BMW,M4 Competition xDrive,2023,"1,120 mi.",Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,White,None reported,Yes,7896500
Jeep,Grand Cherokee L Limited,2021,"26,088 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Silver Zynith,Global Black,None reported,,3262555
Kia,Forte GT-Line,2022,"14,950 mi.",Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,2040000
Kia,Forte LX,2018,"47,466 mi.",Gasoline,"2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,Silky Silver,Black,None reported,,1249415
BMW,X6 M Base,2022,"10,376 mi.",Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Ametrin Metallic,Black,None reported,,8406500
RAM,ProMaster 3500 High Roof,2021,"18,500 mi.",Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,3565750
Volkswagen,Atlas Cross Sport 3.6L V6 SEL Premium,2021,"24,596 mi.",Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Deep Black Pearl Effect,Titan Black / Quarzit,None reported,,3257370
Hyundai,Santa Fe SEL,2021,"2,905 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Shimmering Silver,Black,None reported,,2345915
Jaguar,XF 3.0 Portfolio,2015,"71,290 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,At least 1 accident or damage reported,Yes,1785000
Audi,A7 55 Premium Plus,2022,"15,000 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Black,None reported,Yes,5355000
INFINITI,QX30 Premium,2017,"37,900 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,1870000
Mercedes-Benz,AMG G 63 4MATIC,2022,"2,000 mi.",Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,,,20816160
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,"32,500 mi.",Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,3697500
Mitsubishi,Lancer Evolution Base,2003,"61,491 mi.",Gasoline,271.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,2380000
Jeep,Wrangler Unlimited Sport,2013,"77,634 mi.",Gasoline,3.6L V6 24V MPFI DOHC,5-Speed Automatic,Gecko Pearlcoat,Black,None reported,,2090150
Audi,A3 2.0 TDI Premium Plus,2015,"83,000 mi.",Diesel,150.0HP 2.0L 4 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,1614915
Volkswagen,Jetta GLX VR6,2002,"121,800 mi.",Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,365500
BMW,ALPINA B7 ALPINA B7 xDrive,2020,"65,852 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Mocha,None reported,,5864830
Bentley,Bentayga Azure First Edition,2023,"1,335 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Onyx,Portland,None reported,Yes,23200750
Mercedes-Benz,CLA-Class CLA 250,2014,"83,315 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,1275000
BMW,i8 Base,2019,"18,421 mi.",Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,6-Speed A/T,Black,Black,,,7225000
Lexus,CT 200h Premium,2015,"101,000 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,At least 1 accident or damage reported,Yes,1402500
Toyota,Tundra SR5,2022,"29,322 mi.",Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,,3824915
Mercedes-Benz,SLC 300 Base,2019,"23,900 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,3059915
Mercedes-Benz,AMG C AMG C 63 S,2016,"40,515 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic,Black,Black,At least 1 accident or damage reported,,4079915
Ford,F-150 XLT,2020,"67,516 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Medium Light Camel,None reported,Yes,3144490
Mazda,CX-9 Grand Touring,2010,"155,000 mi.",Gasoline,273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,705500
Honda,Ridgeline RTL-E,2019,"26,998 mi.",Gasoline,3.5L V6 24V GDI SOHC,6-Speed Automatic,Black,Black,None reported,,3022345
Bentley,Bentayga Onyx Edition,2018,"18,500 mi.",Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,9775000
MINI,Cooper S Clubman Base,2009,"137,600 mi.",Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gold,Black,None reported,Yes,584800
Nissan,Murano SL,2005,"125,500 mi.",Gasoline,245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Beige,None reported,Yes,335750
Bentley,Bentayga V8,2019,"22,039 mi.",Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,9689150
Nissan,Juke SV,2011,"137,483 mi.",Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Gray,None reported,Yes,272000
Ford,Expedition Max Limited,2019,"67,500 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,3442500
Ford,Expedition Max King Ranch,2020,"52,000 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Brown,At least 1 accident or damage reported,Yes,4566370
Lamborghini,Murcielago Base,2006,"10,000 mi.",Gasoline,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,22015000
Chevrolet,Suburban LT,2017,"195,361 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Black,Black,At least 1 accident or damage reported,Yes,2210000
Bentley,Bentayga Onyx Edition,2018,"32,500 mi.",Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,8755000
BMW,M760 i xDrive,2019,"14,806 mi.",Gasoline,601.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,6913050
Genesis,GV70 2.5T,2022,"11,000 mi.",Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,4160750
Chevrolet,Tahoe LT,2011,"92,530 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,At least 1 accident or damage reported,Yes,1572500
Dodge,Durango GT,2017,"34,845 mi.",Gasoline,295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,2550000
Porsche,718 Cayman GTS,2018,"16,280 mi.",Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,7267500
Porsche,Cayman Base,2011,"77,000 mi.",Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,2720000
Porsche,Panamera Turbo,2010,"63,000 mi.",Gasoline,500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,3272500
Lexus,ES 350 Base,2016,"39,700 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,2167500
Kia,Optima Hybrid LX,2013,"103,111 mi.",Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,782000
Land,Rover Range Rover Velar R-Dynamic SE,2019,"75,897 mi.",Gasoline,2.0 Liter,Automatic,Black,Black,None reported,,3059830
Jaguar,XF S,2017,"55,000 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,2890000
Lexus,GX 470 Base,2005,"114,000 mi.",Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,1143250
Mercedes-Benz,GL-Class GL 550,2011,"80,124 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,1487500
BMW,X6 M Base,2023,"7,000 mi.",Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,12316500
RAM,1500 Longhorn,2023,"4,285 mi.",Gasoline,5.7L V8 16V MPFI OHV,Automatic,Delmonico Red Pearlcoat,Black / Saddle,None reported,Yes,5583480
Lamborghini,Huracan LP580-2S,2019,"17,175 mi.",Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,Rosso Mars Metallic,Nero Ade,None reported,,19966500
Toyota,Highlander Hybrid Limited Platinum,2017,"34,049 mi.",Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,Shoreline Blue Pearl,Ash,None reported,,3229915
Audi,e-tron Prestige,2019,"16,000 mi.",,355.0HP Electric Motor Electric Fuel System,A/T,White,Beige,At least 1 accident or damage reported,Yes,3399150
GMC,Suburban 2500,1996,"95,000 mi.",Gasoline,290.0HP 7.4L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Gray,None reported,Yes,2125000
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,"59,355 mi.",Gasoline,V8,Automatic,Santorini Black,Ebony / Pimento,None reported,Yes,6204575
Chevrolet,Bolt EUV Premier,2022,"31,000 mi.",,200.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,White,None reported,Yes,3060000
BMW,M240 i,2019,"19,300 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,3060000
Cadillac,Escalade EXT Base,2009,"155,000 mi.",E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,1436500
Scion,tC Release Series 6.0,2010,"120,010 mi.",Gasoline,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,552500
Kia,Optima EX,2012,"152,520 mi.",Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,926500
Honda,Civic EX,1993,"58,981 mi.",–,–,A/T,White,Beige,None reported,Yes,815915
Maserati,Quattroporte Base,2005,"32,000 mi.",Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,At least 1 accident or damage reported,Yes,251097055
Porsche,Panamera Turbo,2015,"47,000 mi.",Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,4250000
Genesis,G70 2.0T,2023,"2,046 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Gray,None reported,Yes,3697415
Chevrolet,Trailblazer LS,2021,"24,965 mi.",Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,Mosaic Black Metallic,Jet Black,At least 1 accident or damage reported,Yes,1954575
Toyota,Camry LE,2005,"108,000 mi.",Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,Gray,None reported,Yes,667250
Toyota,Sienna LE,2015,"76,000 mi.",Gasoline,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,Yes,1555500
Porsche,911 Carrera S,2014,"30,000 mi.",Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,None reported,Yes,6672500
Volvo,V60 T6 R-Design Platinum,2015,"59,271 mi.",Gasoline,325.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,2541500
Lexus,LX 600 Premium,2023,"1,500 mi.",Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,,,10157500
BMW,330e iPerformance,2017,"52,500 mi.",Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Blue,Black,At least 1 accident or damage reported,Yes,2120750
Tesla,Model Y Long Range,2020,"23,100 mi.",,425.0HP Electric Motor Electric Fuel System,A/T,Blue,White,None reported,Yes,3102075
FIAT,124 Spider Abarth,2017,"45,000 mi.",Gasoline,164.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,1912500
Dodge,Ram 1500 Quad Cab,2002,"179,000 mi.",Gasoline,245.0HP 5.9L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,552500
Toyota,Supra A91-MT Edition,2023,"1,500 mi.",Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Orange,None reported,Yes,7216500
BMW,X7 xDrive40i,2022,"38,671 mi.",Hybrid,3.0 Liter Turbo,Automatic,Gray,Blk,None reported,,5694830
Jeep,Wrangler Unlimited X,2007,"135,465 mi.",Gasoline,205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,1338750
MINI,Countryman Cooper S ALL4,2014,"79,000 mi.",Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,1445000
Nissan,Maxima SV,2012,"42,259 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,1445000
Toyota,Camry Solara SLE V6,2006,"159,890 mi.",Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,552500
Maserati,Grecale Modena,2023,"2,200 mi.",Hybrid,325.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,6375000
Lexus,RX 450h Base,2022,"15,833 mi.",Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Beige,None reported,Yes,4420000
BMW,328 i xDrive,2013,"96,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,1147500
BMW,135 i,2009,"72,900 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,1317500
BMW,X7 M50i,2021,"7,121 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,None reported,,8074830
Hyundai,Tucson Hybrid SEL Convenience,2023,"3,402 mi.",Hybrid,226.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,None reported,Yes,3740000
Volvo,C30 T5 Premier Plus,2013,"73,000 mi.",Gasoline,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,1181500
Karma,Revero Base,2018,"21,000 mi.",,403.0HP 2.0L Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,4335000
BMW,X7 xDrive40i,2021,"30,309 mi.",Hybrid,3.0 Liter Turbo,Automatic,Blue,Tan,None reported,,5405830
Ford,Mustang Mach-E California Route 1,2021,"24,000 mi.",,290.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Black,None reported,Yes,3230000
BMW,740 i,2016,"73,000 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,2039915
Ford,Edge SEL,2019,"26,465 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,White Platinum Tri-Coat Metallic,Ebony,None reported,,2124830
Volkswagen,Arteon 2.0T SEL Premium R-Line,2020,"26,870 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Deep Black Pearl Effect,Mistral Gray / Raven,At least 1 accident or damage reported,Yes,2944825
Honda,Pilot EX,2004,"184,000 mi.",Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,892500
BMW,X7 ALPINA XB7,2022,"4,514 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,None reported,,11304830
RAM,2500 Tradesman,2022,"1,300 mi.",Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,4080000
Jeep,Grand Cherokee Limited,2018,"49,924 mi.",Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,2252500
GMC,Yukon Denali,2019,"36,526 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Black,None reported,Yes,4917250
BMW,M6 Base,2015,"37,000 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Silver,None reported,Yes,3905750
Acura,MDX 3.5L w/Advance & Entertainment Pkgs,2017,"79,884 mi.",Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,Gray,Graystone,At least 1 accident or damage reported,,2111400
Volkswagen,Beetle 1.8T,2016,"30,000 mi.",Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,At least 1 accident or damage reported,Yes,1615000
BMW,X6 M Base,2021,"11,102 mi.",Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,8585000
Ford,Mustang GT Premium,2012,"105,500 mi.",Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,1615000
BMW,X7 xDrive50i,2019,"31,157 mi.",Gasoline,4.4 Liter GDI DOHC Twin Turbo,Automatic,Black,Blk,None reported,,5609830
Kia,Sorento LX V6,2019,"86,204 mi.",Gasoline,3.3L V6 24V GDI DOHC,8-Speed Automatic,Sparkling Silver,Satin Black,At least 1 accident or damage reported,,1760180
BMW,435 i,2014,"80,211 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Gray,Red,At least 1 accident or damage reported,Yes,1529575
Aston,Martin V8 Vantage Base,2010,"25,991 mi.",Gasoline,420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,5949575
Mercedes-Benz,CLK-Class CLK 350,2008,"73,000 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,714000
BMW,740 i,2018,"40,989 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gold,None reported,Yes,2975000
Dodge,Caliber Express,2010,"102,681 mi.",Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,None reported,Yes,510000
Acura,ZDX Base,2010,"123,000 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,1180480
Jeep,Wrangler X,2005,"160,900 mi.",Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,–,At least 1 accident or damage reported,Yes,612000
BMW,M3 Base,2011,"105,000 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,At least 1 accident or damage reported,Yes,1861500
Kia,Sportage Plug-In Hybrid X-Line,2023,"1,340 mi.",Plug-In Hybrid,177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Black,Black,None reported,Yes,3485000
Ford,Mustang Mach-E Premium,2021,"17,850 mi.",,266.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,3569915
BMW,M3 Base,2011,"72,277 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,2970750
Jeep,Wrangler Rubicon,2023,"7,000 mi.",Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,3910000
Porsche,Panamera 4 Platinum Edition,2022,"10,627 mi.",Gasoline,"2.9L V-6 gasoline direct injection, DOHC, variable valve control","Automatic, 8-Spd PDK Dual-Clutch",Chalk,BLACK,None reported,,8415000
Ford,Explorer XLT,2020,"67,015 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Oxford White,Sandstone,None reported,,2430150
BMW,M4 Base,2018,"19,600 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,5270000
Ford,Mustang Mach-E Premium,2022,"5,800 mi.",,346.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,None reported,Yes,3612500
FIAT,500e Battery Electric,2017,"33,812 mi.",,111.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,Black,None reported,Yes,1274915
Cadillac,Escalade Luxury,2015,"99,897 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,2290750
Mercedes-Benz,SL-Class SL 550,2014,"127,500 mi.",Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,2465000
Ford,Expedition Limited,2021,"23,842 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Medium Stone,None reported,Yes,5032255
Rivian,R1S Adventure Package,2023,"2,108 mi.",,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,White,None reported,Yes,7735000
BMW,M6 Base,2014,"65,550 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,3398725
Lamborghini,Huracan LP580-2,2017,"22,000 mi.",Gasoline,573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,17850000
Ford,Bronco Wildtrak Advanced,2022,"15,600 mi.",Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,–,At least 1 accident or damage reported,Yes,5864575
Lexus,LC 500 Base,2021,"22,400 mi.",Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,6961500
Lexus,LS 460 Crafted Line,2015,"89,150 mi.",Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,2711500
BMW,M4 Base,2023,"15,000 mi.",Gasoline,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va","Automatic, 8-Spd M STEPTRONIC w/Drivelogic, Sport & Manual Modes",BLUE,ORANGE,None reported,,6885000
Audi,A3 2.0T Tech Premium,2018,"49,500 mi.",Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,None reported,Yes,2125000
Audi,S8 4.2 quattro,2003,"126,000 mi.",Gasoline,360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,,,1177250
Volkswagen,Golf GTI 2.0T Autobahn 4-Door,2015,"85,385 mi.",Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,1321750
Cadillac,Escalade Sport,2023,"3,000 mi.",Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,A/T,White,Brown,None reported,Yes,10539915
Hyundai,Tucson SE,2018,"66,126 mi.",Gasoline,2.0L I4 16V GDI DOHC,6-Speed Automatic,Dazzling White,Gray,None reported,,1631150
